id,country,region,city,state,latitude,longitude,population,population_source,population_date,gdp,gdp_source,gdp_date,age,capture_date,notes,map_url
674,us,Northern America,Davenport city,IA,,,,http://worldpopulationreview.com/us-cities/davenport-city-ia-population,,,http://worldpopulationreview.com/us-cities/davenport-city-ia-population,,,,,"https://www.google.com/maps/@,,20000m/data=!3m1!1e3"
675,us,Northern America,Des Moines,IA,,,,http://worldpopulationreview.com/us-cities/des-moines-ia-population,,,http://worldpopulationreview.com/us-cities/des-moines-ia-population,,,,,"https://www.google.com/maps/@,,20000m/data=!3m1!1e3"
676,us,Northern America,Dubuque,IA,42.50056,-90.66457,57941,http://worldpopulationreview.com/us-cities/dubuque-ia-population,2018,3689.509057,http://worldpopulationreview.com/us-cities/dubuque-ia-population,,,,,"https://www.google.com/maps/@42.50056,-90.66457,20000m/data=!3m1!1e3"
677,us,Northern America,Estherville,IA,43.40163,-94.83276,5686,http://worldpopulationreview.com/us-cities/estherville-ia-population,2018,417.824338,http://worldpopulationreview.com/us-cities/estherville-ia-population,,,,,"https://www.google.com/maps/@43.40163,-94.83276,20000m/data=!3m1!1e3"
678,us,Northern America,Fairfield,IA,41.00863,-91.96267,10414,http://worldpopulationreview.com/us-cities/fairfield-ia-population,2018,563.064152,http://worldpopulationreview.com/us-cities/fairfield-ia-population,,,,,"https://www.google.com/maps/@41.00863,-91.96267,20000m/data=!3m1!1e3"
679,us,Northern America,Fort Dodge,IA,42.49747,-94.16802,24098,http://worldpopulationreview.com/us-cities/fort-dodge-ia-population,2018,1322.13677,http://worldpopulationreview.com/us-cities/fort-dodge-ia-population,,,,,"https://www.google.com/maps/@42.49747,-94.16802,20000m/data=!3m1!1e3"
680,us,Northern America,Grinnell,IA,41.74305,-92.72241,9320,http://worldpopulationreview.com/us-cities/grinnell-ia-population,2018,580.85036,http://worldpopulationreview.com/us-cities/grinnell-ia-population,,,,,"https://www.google.com/maps/@41.74305,-92.72241,20000m/data=!3m1!1e3"
681,us,Northern America,Indianola,IA,41.35805,-93.55744,16071,http://worldpopulationreview.com/us-cities/indianola-ia-population,2018,1085.001423,http://worldpopulationreview.com/us-cities/indianola-ia-population,,,,,"https://www.google.com/maps/@41.35805,-93.55744,20000m/data=!3m1!1e3"
682,us,Northern America,Iowa City,IA,,,,http://worldpopulationreview.com/us-cities/iowa-city-ia-population,,,http://worldpopulationreview.com/us-cities/iowa-city-ia-population,,,,,"https://www.google.com/maps/@,,20000m/data=!3m1!1e3"
683,us,Northern America,Keokuk,IA,40.39727,-91.38487,10274,http://worldpopulationreview.com/us-cities/keokuk-ia-population,2018,521.426048,http://worldpopulationreview.com/us-cities/keokuk-ia-population,,,,,"https://www.google.com/maps/@40.39727,-91.38487,20000m/data=!3m1!1e3"
684,us,Northern America,Mason City,IA,43.15357,-93.20104,27093,http://worldpopulationreview.com/us-cities/mason-city-ia-population,2018,1723.575381,http://worldpopulationreview.com/us-cities/mason-city-ia-population,,,,,"https://www.google.com/maps/@43.15357,-93.20104,20000m/data=!3m1!1e3"
685,us,Northern America,Mount Pleasant,IA,40.96364,-91.55794,8737,http://worldpopulationreview.com/us-cities/mount-pleasant-ia-population,2018,550.029098,http://worldpopulationreview.com/us-cities/mount-pleasant-ia-population,,,,,"https://www.google.com/maps/@40.96364,-91.55794,20000m/data=!3m1!1e3"
686,us,Northern America,Muscatine,IA,41.42447,-91.04321,23817,http://worldpopulationreview.com/us-cities/muscatine-ia-population,2018,1537.601703,http://worldpopulationreview.com/us-cities/muscatine-ia-population,,,,,"https://www.google.com/maps/@41.42447,-91.04321,20000m/data=!3m1!1e3"
687,us,Northern America,Newton,IA,41.69971,-93.04798,15209,http://worldpopulationreview.com/us-cities/newton-ia-population,2018,893.163734,http://worldpopulationreview.com/us-cities/newton-ia-population,,,,,"https://www.google.com/maps/@41.69971,-93.04798,20000m/data=!3m1!1e3"
688,us,Northern America,Oskaloosa,IA,41.2964,-92.64436,11426,http://worldpopulationreview.com/us-cities/oskaloosa-ia-population,2018,644.072194,http://worldpopulationreview.com/us-cities/oskaloosa-ia-population,,,,,"https://www.google.com/maps/@41.2964,-92.64436,20000m/data=!3m1!1e3"
689,us,Northern America,Ottumwa,IA,41.02001,-92.4113,24550,http://worldpopulationreview.com/us-cities/ottumwa-ia-population,2018,1256.88635,http://worldpopulationreview.com/us-cities/ottumwa-ia-population,,,,,"https://www.google.com/maps/@41.02001,-92.4113,20000m/data=!3m1!1e3"
690,us,Northern America,Sioux City,IA,42.49567,-96.39053,82396,http://worldpopulationreview.com/us-cities/sioux-city-ia-population,2018,5186.169032,http://worldpopulationreview.com/us-cities/sioux-city-ia-population,,,,,"https://www.google.com/maps/@42.49567,-96.39053,20000m/data=!3m1!1e3"
691,us,Northern America,Waterloo,IA,42.49276,-92.34296,67798,http://worldpopulationreview.com/us-cities/waterloo-ia-population,2018,3967.267768,http://worldpopulationreview.com/us-cities/waterloo-ia-population,,,,,"https://www.google.com/maps/@42.49276,-92.34296,20000m/data=!3m1!1e3"
692,us,Northern America,Webster City,IA,42.46942,-93.81605,7723,http://worldpopulationreview.com/us-cities/webster-city-ia-population,2018,454.336367,http://worldpopulationreview.com/us-cities/webster-city-ia-population,,,,,"https://www.google.com/maps/@42.46942,-93.81605,20000m/data=!3m1!1e3"
693,us,Northern America,West Des Moines,IA,41.54994,-93.78135,66641,http://worldpopulationreview.com/us-cities/west-des-moines-ia-population,2018,6735.805716,http://worldpopulationreview.com/us-cities/west-des-moines-ia-population,,,,,"https://www.google.com/maps/@41.54994,-93.78135,20000m/data=!3m1!1e3"
694,us,Northern America,Abilene,KS,38.91722,-97.21391,6300,http://worldpopulationreview.com/us-cities/abilene-ks-population,2018,362.2374,http://worldpopulationreview.com/us-cities/abilene-ks-population,,,,,"https://www.google.com/maps/@38.91722,-97.21391,20000m/data=!3m1!1e3"
695,us,Northern America,Arkansas City,KS,37.06197,-97.03837,11793,http://worldpopulationreview.com/us-cities/arkansas-city-ks-population,2018,588.918834,http://worldpopulationreview.com/us-cities/arkansas-city-ks-population,,,,,"https://www.google.com/maps/@37.06197,-97.03837,20000m/data=!3m1!1e3"
696,us,Northern America,Atchison,KS,39.56305,-95.12164,10560,http://worldpopulationreview.com/us-cities/atchison-ks-population,2018,687.58272,http://worldpopulationreview.com/us-cities/atchison-ks-population,,,,,"https://www.google.com/maps/@39.56305,-95.12164,20000m/data=!3m1!1e3"
